iter	Passed	Remaining
438	1352	1728
439	1355	1725
440	1359	1722
441	1362	1720
442	1365	1716
443	1367	1712
444	1370	1709
445	1373	1705
446	1376	1702
447	1379	1699
448	1382	1696
449	1385	1693
450	1388	1690
451	1391	1687
452	1394	1684
453	1398	1681
454	1401	1678
455	1404	1675
456	1407	1672
457	1410	1669
458	1413	1666
459	1416	1662
460	1419	1659
461	1422	1656
462	1425	1653
463	1428	1650
464	1431	1647
465	1434	1644
466	1437	1641
467	1440	1637
468	1443	1634
469	1446	1631
470	1449	1628
471	1452	1625
472	1456	1622
473	1459	1619
474	1461	1615
475	1464	1612
476	1467	1609
477	1470	1606
478	1474	1603
479	1477	1600
480	1480	1597
481	1483	1594
482	1486	1591
483	1489	1588
484	1492	1584
485	1495	1581
486	1498	1578
487	1501	1575
488	1504	1572
489	1507	1569
490	1510	1566
491	1514	1563
492	1517	1560
493	1520	1557
494	1523	1554
495	1526	1551
496	1529	1548
497	1532	1544
498	1535	1541
499	1538	1538
500	1541	1535
501	1544	1532
502	1547	1528
503	1550	1526
504	1553	1523
505	1556	1519
506	1559	1516
507	1562	1513
508	1564	1509
509	1568	1506
510	1571	1503
511	1574	1500
512	1577	1497
513	1580	1494
514	1583	1491
515	1586	1488
516	1590	1485
517	1593	1482
518	1596	1479
519	1599	1476
520	1602	1473
521	1605	1470
522	1609	1467
523	1612	1464
524	1615	1461
525	1618	1458
526	1621	1455
527	1624	1452
528	1627	1449
529	1630	1446
530	1633	1443
531	1636	1440
532	1640	1436
533	1643	1434
534	1646	1431
535	1649	1428
536	1652	1424
537	1655	1421
538	1658	1418
539	1661	1415
540	1664	1412
541	1667	1408
542	1670	1405
543	1673	1402
544	1676	1399
545	1680	1396
546	1683	1394
547	1686	1390
548	1689	1388
549	1693	1385
550	1696	1382
551	1699	1379
552	1702	1375
553	1705	1372
554	1708	1369
555	1711	1366
556	1714	1363
557	1717	1360
558	1720	1357
559	1723	1354
560	1726	1350
561	1729	1347
562	1732	1344
563	1735	1341
564	1738	1338
565	1741	1335
566	1744	1332
567	1747	1329
568	1750	1326
569	1753	1323
570	1756	1320
571	1760	1317
