iter	Logloss
0	0.6802349091
1	0.6704004288
2	0.6571371078
3	0.6455107689
4	0.6332392693
5	0.6240181923
6	0.6147193432
7	0.6044528008
8	0.5963394642
9	0.5855271816
10	0.5778827667
11	0.570093441
12	0.5602490425
13	0.5526461601
14	0.5447509766
15	0.535859108
16	0.5267539978
17	0.5190461636
18	0.5109463692
19	0.5033682823
20	0.496694088
21	0.4896075249
22	0.4821146011
23	0.4756791115
24	0.4695752144
25	0.462966013
26	0.4568329811
27	0.4519598484
28	0.4457187176
29	0.4393335819
30	0.4335774422
31	0.428104496
32	0.4221893311
33	0.4176414967
34	0.4135059834
35	0.4097105026
36	0.4052549362
37	0.4005757809
38	0.3972557783
39	0.3926858425
40	0.3894073486
41	0.3861170053
42	0.3834456444
43	0.3802369595
44	0.377225256
45	0.3744420052
46	0.3707231045
47	0.3675627708
48	0.3643717289
49	0.3617259979
50	0.3584193945
51	0.3554808617
52	0.3531615257
53	0.350395155
54	0.3477890253
55	0.3454923153
56	0.3432863712
57	0.3403648853
58	0.3371047974
59	0.3348968744
60	0.3326555014
61	0.3304533482
62	0.3285662889
63	0.3255391598
64	0.3232910872
65	0.3209847212
66	0.3189556122
67	0.3166173935
68	0.3144918919
69	0.3127320051
70	0.3110173702
71	0.3095476866
72	0.308087039
73	0.3061228991
74	0.3049696445
75	0.3030865192
76	0.3011173964
77	0.2997778177
78	0.2978237629
79	0.2962300777
80	0.2944329977
81	0.292771554
82	0.2911476612
83	0.2894938231
84	0.2877405643
85	0.2861921549
86	0.2844222546
87	0.2836791515
88	0.2827404499
89	0.2814219713
90	0.2803530216
91	0.2789330006
92	0.2779085636
93	0.2762254953
94	0.2747738838
95	0.2736316204
96	0.2722262621
97	0.2709203243
98	0.2696130514
99	0.268393755
100	0.2672569275
101	0.265993619
102	0.2645731926
103	0.2637528658
104	0.262890625
105	0.2624825954
106	0.2614701748
107	0.2605391979
108	0.259587431
109	0.2587534904
110	0.2577053785
111	0.2568821192
112	0.256652689
113	0.255680871
114	0.2547575474
115	0.2539272785
116	0.2530314445
117	0.2520545006
118	0.2511689901
119	0.2502694368
120	0.2491604328
121	0.2482846498
122	0.2473461628
123	0.2464501858
124	0.2457434177
125	0.2447673798
126	0.2443183184
127	0.243615818
128	0.2429012775
129	0.2419723272
130	0.2411496878
131	0.2405733109
132	0.2397270679
133	0.2390882969
134	0.2385042667
135	0.237985611
136	0.2371961117
137	0.2365031242
138	0.2356876135
139	0.2350323677
140	0.2345022202
141	0.234101963
142	0.2338010311
143	0.2334272623
144	0.2325364828
145	0.2320165634
146	0.2315097332
147	0.2307726622
148	0.2300639868
149	0.2293101311
150	0.2288412094
151	0.2282571793
152	0.2276120186
153	0.2269467354
154	0.2264710188
155	0.2258964062
156	0.2254958153
157	0.2250506878
158	0.2244605541
159	0.2240915775
160	0.2237137794
161	0.2229871273
162	0.2222756624
163	0.2217719078
164	0.2213629723
165	0.2208265781
166	0.2203364372
167	0.2198690176
168	0.2194204569
169	0.2190225124
170	0.2184871197
171	0.2179360867
172	0.2175773144
173	0.2170632839
174	0.2165284395
175	0.2162408829
176	0.2155774355
177	0.2151770592
178	0.2147004843
179	0.2141049385
180	0.2136451244
181	0.2131354332
182	0.2128371
183	0.2125429153
184	0.2122922421
185	0.2118364096
186	0.2114238262
187	0.2111451864
188	0.2108890772
189	0.2101760387
190	0.209868145
191	0.2095435619
192	0.2090531111
193	0.2085252285
194	0.2082463741
195	0.208038044
196	0.2077507496
197	0.2072785854
198	0.2068434477
199	0.2063461781
200	0.2058845043
201	0.2053277731
202	0.2050395489
203	0.2047213554
204	0.2043605328
205	0.2039408445
206	0.2036866188
207	0.203422761
208	0.2031069279
209	0.2026148319
210	0.202143693
211	0.2019010782
212	0.2014563799
213	0.2011957169
214	0.2007338285
215	0.2003347874
216	0.1998559475
217	0.1995616078
218	0.1991679192
219	0.1988089681
220	0.1985992432
221	0.198295188
222	0.1978604317
223	0.1975062847
224	0.1971885085
225	0.1969424009
226	0.1968003631
227	0.1964574099
228	0.1962661505
229	0.195889914
230	0.1955030441
231	0.1951628327
232	0.1947562218
233	0.1945139408
234	0.194108057
235	0.1937569976
236	0.1933119416
237	0.1930397987
238	0.1926287651
239	0.192401278
240	0.1920976639
241	0.1916727901
242	0.1912046909
243	0.1910063744
244	0.1905108213
245	0.1903074622
246	0.1899298906
247	0.1896991968
248	0.1894261718
249	0.1890403748
250	0.1887692451
251	0.1884290695
252	0.1881774306
253	0.1877182126
254	0.1875785828
255	0.1873591423
256	0.1872130036
257	0.1867974401
258	0.1864456654
259	0.1859020948
260	0.1856023788
261	0.185349977
262	0.1850970149
263	0.1849426031
264	0.1846132517
265	0.1843691111
266	0.183987236
267	0.183790946
268	0.1835260391
269	0.1833443403
270	0.1830996752
271	0.1827777863
272	0.1823669672
273	0.1818163633
274	0.1815257788
275	0.1813064575
276	0.1810670137
277	0.180859673
278	0.1805714369
279	0.1802672744
280	0.1799909592
281	0.1797734261
282	0.1794808269
283	0.1791138649
284	0.1787400246
285	0.1783786178
286	0.1782329798
287	0.1779709816
288	0.1776813507
289	0.1775676012
290	0.1773803234
291	0.1770897865
292	0.1767645121
293	0.1764850736
294	0.1762872934
295	0.1759973526
296	0.1757021546
297	0.1755503416
298	0.1753732204
299	0.1752765417
300	0.1750365496
301	0.1745881081
302	0.1744652987
303	0.1741997719
304	0.1739585996
305	0.1738003731
306	0.1734902382
307	0.1732827306
308	0.1728720427
309	0.1727368593
310	0.1724801421
311	0.172143364
312	0.1718957186
313	0.1716313362
314	0.1714277387
315	0.1713519335
316	0.171127677
317	0.1708231449
318	0.1705036759
319	0.1701930165
320	0.1700290561
321	0.169821763
322	0.16957798
323	0.1695080519
324	0.1692635894
325	0.169020474
326	0.1688335896
327	0.1685698509
328	0.168289566
329	0.168143034
330	0.167939043
331	0.1677775383
332	0.1675117731
333	0.167405653
334	0.1672387719
335	0.1669939995
336	0.1667259455
337	0.1664831877
338	0.1662438512
339	0.1659958839
340	0.1656825304
341	0.1654914141
342	0.1652521729
343	0.1650707722
344	0.1648670197
345	0.164648819
346	0.1644329429
347	0.1642770052
348	0.164156723
349	0.163788867
350	0.1636015296
351	0.1635192394
352	0.1632140517
353	0.16300385
354	0.1628173351
355	0.1627347946
356	0.1625106573
357	0.1620743275
358	0.1618702292
359	0.1616034389
360	0.1613751054
361	0.1612846851
362	0.1609965086
363	0.1608567834
364	0.1606989622
365	0.1605908751
366	0.16034168
